meta	busco_score	complete_single	complete_duplicated
Metopia_argyrocephala	C:95.0%[S:94.2%,D:0.8%],F:0.3%,M:4.7%,n:5067	94.20%	0.80%
Myopa_testacea	C:95.6%[S:94.8%,D:0.8%],F:1.4%,M:3.0%,n:5067	94.80%	0.80%
Nemotelus_pantherinus	C:94.2%[S:93.4%,D:0.8%],F:2.2%,M:3.6%,n:5067	93.40%	0.80%
Philophylla_caesio	C:98.4%[S:97.6%,D:0.8%],F:0.7%,M:0.9%,n:5067	97.60%	0.80%
Poecilobothrus_nobilitatus	C:93.5%[S:92.8%,D:0.8%],F:1.8%,M:4.7%,n:5067	92.80%	0.80%
Scellus_notatus	C:92.6%[S:91.8%,D:0.8%],F:2.0%,M:5.4%,n:5067	91.80%	0.80%
Thecophora_atra	C:96.5%[S:95.8%,D:0.8%],F:1.5%,M:1.9%,n:5067	95.80%	0.80%
Wyeomyia_smithii	C:94.1%[S:93.3%,D:0.8%],F:1.5%,M:4.3%,n:5067	93.30%	0.80%
Anopheles_aquasalis	C:93.2%[S:92.5%,D:0.7%],F:2.0%,M:4.9%,n:5067	92.50%	0.70%
Anopheles_darlingi	C:93.3%[S:92.5%,D:0.7%],F:1.8%,M:5.0%,n:5067	92.50%	0.70%
Anopheles_mascarensis	C:94.9%[S:94.2%,D:0.7%],F:1.4%,M:3.7%,n:5067	94.20%	0.70%
Anopheles_pharoensis	C:94.9%[S:94.2%,D:0.7%],F:1.2%,M:3.8%,n:5067	94.20%	0.70%
Beris_chalybata	C:95.7%[S:95.0%,D:0.7%],F:1.9%,M:2.4%,n:5067	95.00%	0.70%
Brachyopa_scutellaris	C:98.4%[S:97.7%,D:0.7%],F:0.6%,M:1.0%,n:5067	97.70%	0.70%
Cheilosia_urbana	C:98.0%[S:97.3%,D:0.7%],F:0.7%,M:1.3%,n:5067	97.30%	0.70%
Cistogaster_globosa	C:99.0%[S:98.3%,D:0.7%],F:0.4%,M:0.6%,n:5067	98.30%	0.70%
Dioctria_linearis	C:95.8%[S:95.0%,D:0.7%],F:2.5%,M:1.7%,n:5067	95.00%	0.70%
Drosophila_mauritiana	C:98.5%[S:97.8%,D:0.7%],F:0.8%,M:0.7%,n:5067	97.80%	0.70%
Drosophila_melanogaster	C:98.8%[S:98.2%,D:0.7%],F:0.7%,M:0.5%,n:5067	98.20%	0.70%
Drosophila_santomea	C:98.4%[S:97.7%,D:0.7%],F:0.7%,M:0.9%,n:5067	97.70%	0.70%
Drosophila_simulans	C:98.6%[S:97.8%,D:0.7%],F:0.7%,M:0.8%,n:5067	97.80%	0.70%
Drosophila_yakuba	C:98.7%[S:98.0%,D:0.7%],F:0.7%,M:0.6%,n:5067	98.00%	0.70%
Dysmachus_trigonus	C:95.8%[S:95.1%,D:0.7%],F:2.6%,M:1.5%,n:5067	95.10%	0.70%
Empis_livida	C:94.9%[S:94.2%,D:0.7%],F:2.5%,M:2.6%,n:5067	94.20%	0.70%
Epistrophe_grossulariae	C:98.0%[S:97.3%,D:0.7%],F:0.8%,M:1.2%,n:5067	97.30%	0.70%
Epistrophella_euchroma	C:98.2%[S:97.5%,D:0.7%],F:0.6%,M:1.2%,n:5067	97.50%	0.70%
Eudasyphora_cyanicolor	C:99.0%[S:98.3%,D:0.7%],F:0.6%,M:0.4%,n:5067	98.30%	0.70%
Eupeodes_corollae	C:98.0%[S:97.3%,D:0.7%],F:0.7%,M:1.3%,n:5067	97.30%	0.70%
Eupeodes_luniger	C:97.9%[S:97.2%,D:0.7%],F:0.7%,M:1.4%,n:5067	97.20%	0.70%
Eutolmus_rufibarbis	C:96.0%[S:95.3%,D:0.7%],F:2.6%,M:1.4%,n:5067	95.30%	0.70%
Leia_winthemii	C:88.8%[S:88.0%,D:0.7%],F:5.3%,M:6.0%,n:5067	88.00%	0.70%
Merzomyia_westermanni	C:97.2%[S:96.6%,D:0.7%],F:1.3%,M:1.5%,n:5067	96.60%	0.70%
Muscina_levida	C:99.0%[S:98.4%,D:0.7%],F:0.3%,M:0.7%,n:5067	98.40%	0.70%
Nemotelus_nigrinus	C:92.7%[S:91.9%,D:0.7%],F:2.2%,M:5.2%,n:5067	91.90%	0.70%
Neoitamus_cyanurus	C:95.7%[S:95.0%,D:0.7%],F:2.5%,M:1.8%,n:5067	95.00%	0.70%
Nephrotoma_guestfalica	C:92.5%[S:91.8%,D:0.7%],F:4.2%,M:3.3%,n:5067	91.80%	0.70%
Ormia_ochracea	C:97.6%[S:97.0%,D:0.7%],F:0.6%,M:1.8%,n:5067	97.00%	0.70%
Pocota_personata	C:97.8%[S:97.1%,D:0.7%],F:0.9%,M:1.3%,n:5067	97.10%	0.70%
Pollenia_angustigena	C:99.3%[S:98.7%,D:0.7%],F:0.3%,M:0.3%,n:5067	98.70%	0.70%
Sarcophaga_peregrina	C:96.0%[S:95.3%,D:0.7%],F:1.5%,M:2.4%,n:5067	95.30%	0.70%
Sarcophaga_rosellei	C:99.5%[S:98.8%,D:0.7%],F:0.2%,M:0.3%,n:5067	98.80%	0.70%
Sicus_ferrugineus	C:95.4%[S:94.8%,D:0.7%],F:1.9%,M:2.6%,n:5067	94.80%	0.70%
Sphenella_marginata	C:97.4%[S:96.7%,D:0.7%],F:1.0%,M:1.6%,n:5067	96.70%	0.70%
Stomoxys_calcitrans	C:98.3%[S:97.7%,D:0.7%],F:0.8%,M:0.9%,n:5067	97.70%	0.70%
Anopheles_marshallii	C:95.4%[S:94.8%,D:0.6%],F:1.3%,M:3.3%,n:5067	94.80%	0.60%
Anopheles_minimus	C:94.1%[S:93.6%,D:0.6%],F:1.8%,M:4.1%,n:5067	93.60%	0.60%
Anopheles_moucheti	C:94.9%[S:94.2%,D:0.6%],F:1.4%,M:3.8%,n:5067	94.20%	0.60%
Anopheles_oryzalimnetes	C:92.3%[S:91.7%,D:0.6%],F:1.8%,M:5.9%,n:5067	91.70%	0.60%
Anopheles_pauliani	C:93.6%[S:93.0%,D:0.6%],F:1.6%,M:4.8%,n:5067	93.00%	0.60%
Anopheles_pretoriensis	C:95.0%[S:94.4%,D:0.6%],F:1.4%,M:3.5%,n:5067	94.40%	0.60%
Bibio_marci	C:88.9%[S:88.3%,D:0.6%],F:6.1%,M:5.1%,n:5067	88.30%	0.60%
Bombylius_discolor	C:93.8%[S:93.2%,D:0.6%],F:3.4%,M:2.7%,n:5067	93.20%	0.60%
